* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:21:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: SSP L 7K
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
149.933411 74.494 164.2597
151.019897 74.456 164.0880
152.114243 74.420 163.9365
153.216522 74.391 163.8056
154.326797 74.369 163.6846
155.445114 74.351 163.5635
156.571533 74.334 163.4341
157.706116 74.313 163.2875
158.848923 74.286 163.1180
160.000000 74.252 162.9303
161.159424 74.213 162.7380
162.327255 74.176 162.5539
163.503540 74.144 162.3819
164.688354 74.118 162.2208
165.881760 74.095 162.0696
167.083801 74.071 161.9282
168.294571 74.044 161.7954
169.514099 74.011 161.6679
170.742462 73.975 161.5411
171.979736 73.938 161.4120
173.225967 73.904 161.2816
174.481232 73.874 161.1517
175.745605 73.846 161.0214
177.019119 73.818 160.8897
178.301880 73.786 160.7587
179.593933 73.750 160.6338
180.895340 73.711 160.5179
182.206177 73.672 160.4056
183.526520 73.634 160.2852
184.856430 73.597 160.1545
186.195984 73.557 160.0271
187.545227 73.512 159.9229
188.904266 73.465 159.8522
190.273132 73.419 159.8018
191.651932 73.376 159.7394
193.040726 73.337 159.6459
194.439575 73.299 159.5275
195.848572 73.265 159.3960
197.267761 73.230 159.2603
198.697250 73.194 159.1353
200.137085 73.156 159.0352
201.587372 73.121 158.9545
203.048157 73.090 158.8731
204.519531 73.064 158.7790
206.001556 73.038 158.6750
207.494324 73.011 158.5676
208.997925 72.980 158.4558
210.512405 72.945 158.3368
212.037857 72.907 158.2154
213.574371 72.871 158.0992
215.122025 72.836 157.9951
216.680893 72.800 157.9118
218.251053 72.758 157.8594
219.832581 72.707 157.8402
221.425583 72.651 157.8431
223.030121 72.598 157.8423
224.646286 72.553 157.8116
226.274170 72.517 157.7446
227.913849 72.483 157.6640
229.565399 72.446 157.6069
231.228928 72.405 157.5939
232.904510 72.363 157.6133
234.592224 72.325 157.6360
236.292191 72.290 157.6492
238.004456 72.255 157.6702
239.729126 72.219 157.7218
241.466309 72.183 157.8007
243.216080 72.147 157.8795
244.978516 72.114 157.9337
246.753738 72.084 157.9595
248.541809 72.056 157.9661
250.342850 72.030 157.9607
252.156937 72.004 157.9442
253.984161 71.979 157.9171
255.824646 71.953 157.8862
257.678467 71.926 157.8631
259.545685 71.897 157.8563
261.426483 71.863 157.8626
263.320862 71.827 157.8709
265.229004 71.788 157.8747
267.150970 71.749 157.8762
269.086853 71.710 157.8783
271.036774 71.673 157.8789
273.000824 71.637 157.8744
274.979095 71.600 157.8623
276.971710 71.561 157.8461
278.978760 71.520 157.8371
281.000336 71.476 157.8481
283.036591 71.433 157.8814
285.087585 71.393 157.9255
287.153442 71.356 157.9626
289.234283 71.322 157.9812
291.330200 71.288 157.9808
293.441284 71.254 157.9709
295.567688 71.218 157.9655
297.709503 71.180 157.9749
299.866821 71.141 158.0076
302.039795 71.098 158.0728
304.228485 71.052 158.1693
306.433044 71.005 158.2838
308.653595 70.959 158.4023
310.890228 70.915 158.5135
313.143066 70.873 158.6078
315.412231 70.832 158.6815
317.697845 70.791 158.7471
320.000000 70.749 158.8302
322.318848 70.702 158.9403
324.654510 70.653 159.0543
327.007080 70.608 159.1413
329.376709 70.570 159.1956
331.763519 70.538 159.2342
334.167603 70.508 159.2761
336.589142 70.478 159.3318
339.028198 70.446 159.4100
341.484924 70.410 159.5263
343.959473 70.368 159.6903
346.451935 70.327 159.8823
348.962463 70.289 160.0555
351.491211 70.254 160.1773
354.038239 70.218 160.2560
356.603760 70.179 160.3205
359.187866 70.140 160.3951
361.790680 70.100 160.4923
364.412354 70.061 160.6136
367.053040 70.022 160.7581
369.712860 69.984 160.9258
372.391968 69.944 161.1084
