* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:24:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
234.592224 72.051 -23.4176
236.292191 72.030 -23.4291
238.004456 72.008 -23.4673
239.729126 71.984 -23.5156
241.466309 71.959 -23.5686
243.216080 71.933 -23.6285
244.978516 71.903 -23.6940
246.753738 71.872 -23.7620
248.541809 71.838 -23.8327
250.342850 71.803 -23.9060
252.156937 71.768 -23.9769
253.984161 71.732 -24.0370
255.824646 71.696 -24.0836
257.678467 71.657 -24.1235
259.545685 71.615 -24.1624
261.426483 71.573 -24.1959
263.320862 71.533 -24.2155
265.229004 71.496 -24.2185
267.150970 71.459 -24.2114
269.086853 71.421 -24.2051
271.036774 71.381 -24.2054
273.000824 71.340 -24.2079
274.979095 71.300 -24.2029
276.971710 71.259 -24.1871
278.978760 71.218 -24.1660
281.000336 71.177 -24.1449
283.036591 71.137 -24.1229
285.087585 71.100 -24.0967
287.153442 71.064 -24.0646
289.234283 71.028 -24.0266
291.330200 70.990 -23.9867
293.441284 70.949 -23.9499
295.567688 70.907 -23.9167
297.709503 70.864 -23.8826
299.866821 70.821 -23.8420
302.039795 70.778 -23.7916
304.228485 70.737 -23.7342
306.433044 70.697 -23.6766
308.653595 70.656 -23.6230
310.890228 70.614 -23.5678
313.143066 70.573 -23.4991
315.412231 70.533 -23.4100
317.697845 70.494 -23.3066
320.000000 70.455 -23.2042
322.318848 70.416 -23.1130
324.654510 70.376 -23.0304
327.007080 70.336 -22.9482
329.376709 70.297 -22.8614
331.763519 70.259 -22.7650
334.167603 70.222 -22.6553
336.589142 70.187 -22.5403
339.028198 70.151 -22.4348
341.484924 70.114 -22.3415
343.959473 70.074 -22.2481
346.451935 70.032 -22.1450
348.962463 69.990 -22.0361
351.491211 69.947 -21.9299
354.038239 69.907 -21.8253
356.603760 69.868 -21.7128
359.187866 69.828 -21.5890
361.790680 69.785 -21.4575
364.412354 69.740 -21.3211
367.053040 69.695 -21.1827
369.712860 69.653 -21.0449
372.391968 69.613 -20.9052
375.090454 69.573 -20.7568
377.808533 69.532 -20.5991
380.546265 69.491 -20.4397
383.303864 69.452 -20.2849
386.081451 69.419 -20.1328
388.879150 69.388 -19.9764
391.697144 69.358 -19.8162
394.535522 69.326 -19.6631
397.394501 69.292 -19.5203
400.274170 69.256 -19.3743
403.174744 69.219 -19.2098
406.096313 69.181 -19.0259
409.039062 69.141 -18.8324
412.003113 69.099 -18.6354
414.988647 69.057 -18.4357
417.995850 69.018 -18.2367
421.024811 68.981 -18.0423
424.075714 68.946 -17.8511
427.148743 68.911 -17.6589
430.244049 68.876 -17.4608
433.361786 68.843 -17.2525
436.502106 68.809 -17.0343
439.665161 68.773 -16.8113
442.851166 68.734 -16.5887
