* Measurement data measured by REW V5.20.5
* Source:
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022/06/27 19:40:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: r70x R S1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
8620.000000 55.021 -137.9843
8750.000000 52.531 -131.8907
8850.000000 50.664 -123.9796
9000.000000 48.269 -107.7399
9120.000000 46.977 -91.8388
9250.000000 46.562 -73.5219
9380.000000 47.190 -57.2043
9500.000000 48.274 -46.7696
9620.000000 49.265 -41.8907
9750.000000 49.820 -41.0682
9880.000000 49.702 -41.1067
10000.000000 49.130 -39.1757
10150.000000 48.227 -33.1532
10300.000000 47.454 -24.3216
10440.000000 46.889 -14.4861
10600.000000 46.417 -1.0897
10750.000000 46.351 13.9725
10900.000000 47.065 30.2002
11060.000000 48.799 45.8126
11200.000000 50.836 55.7980
11380.000000 53.555 61.9500
11500.000000 55.148 61.6657
11720.000000 57.167 53.8927
11800.000000 57.537 49.7510
12060.000000 57.400 38.4348
12200.000000 56.795 36.7018
12410.000000 56.050 39.9023
12500.000000 55.943 42.3097
12650.000000 56.028 46.3926
12800.000000 56.365 50.1241
13150.000000 57.881 53.9931
13200.000000 58.095 53.4121
13400.000000 58.569 47.6755
13600.000000 58.094 38.9698
13800.000000 56.560 33.3800
14000.000000 54.404 35.9939
14300.000000 52.095 52.2437
14500.000000 51.905 64.5158
14750.000000 52.553 76.4679
15000.000000 53.396 84.3597
15250.000000 54.242 89.7825
15500.000000 55.120 91.3029
15750.000000 55.587 85.7094
16000.000000 55.042 75.0027
16250.000000 53.395 67.2210
16500.000000 51.172 67.1201
16750.000000 48.997 74.4639
17000.000000 47.358 87.8747
17250.000000 46.937 104.7816
17500.000000 48.024 119.7446
17750.000000 49.576 127.4586
18000.000000 50.618 128.6780
18250.000000 51.046 128.2606
18500.000000 51.239 129.3240
18750.000000 51.740 131.5310
19000.000000 52.740 131.5117
19250.000000 53.718 125.9022
19500.000000 53.990 115.0138
19750.000000 53.293 103.7171
